transaction_id,account_id,customer_id,direction,transaction_type,channel,amount,currency,transaction_timestamp,value_date,status,narration,balance_after,counterparty_name,counterparty_account,counterparty_bank,counterparty_bank_code,counterparty_country,origin_country,destination_country,is_cross_border,merchant_category_code,branch_code,device_id,ip_address
TXN_0000377,ACC_20008,CUST_20008,CREDIT,INTEREST_CREDIT,INTERNET_BANKING,180.00,USD,2025-08-15T10:00:00,2025-08-15,POSTED,Quarterly interest,,,,,,,IN,IN,N,,BR001,DEV-6147,10.20.105.248
TXN_0000265,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,133.65,USD,2026-06-11T11:00:00,2026-06-11,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-1274,10.20.231.171
TXN_0000266,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,174.40,USD,2026-06-12T11:00:00,2026-06-12,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-3445,10.20.25.201
TXN_0000267,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,129.71,USD,2026-06-13T11:00:00,2026-06-13,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-4161,10.20.224.160
TXN_0000268,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,162.54,USD,2026-06-14T11:00:00,2026-06-14,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-6215,10.20.114.16
TXN_0000269,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,189.19,USD,2026-06-15T11:00:00,2026-06-15,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-7611,10.20.189.17
TXN_0000270,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,198.79,USD,2026-06-16T11:00:00,2026-06-16,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-1977,10.20.18.51
TXN_0000271,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,194.33,USD,2026-06-17T11:00:00,2026-06-17,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-8515,10.20.114.191
TXN_0000272,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,129.54,USD,2026-06-18T11:00:00,2026-06-18,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-4862,10.20.237.5
TXN_0000273,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,134.89,USD,2026-06-19T11:00:00,2026-06-19,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-7112,10.20.132.199
TXN_0000274,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,181.66,USD,2026-06-20T11:00:00,2026-06-20,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-2557,10.20.180.11
TXN_0000276,ACC_20005,CUST_20005,CREDIT,TRANSFER_IN,INTERNET_BANKING,1450.00,USD,2026-06-21T08:00:00,2026-06-21,POSTED,Salary,,,,,,,IN,IN,N,,BR001,DEV-6251,10.20.153.180
TXN_0000275,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,183.65,USD,2026-06-21T11:00:00,2026-06-21,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-2343,10.20.57.161
TXN_0000277,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,180.65,USD,2026-06-22T11:00:00,2026-06-22,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-4846,10.20.58.203
TXN_0000278,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,194.28,USD,2026-06-23T11:00:00,2026-06-23,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-8001,10.20.80.81
TXN_0000279,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,128.53,USD,2026-06-24T11:00:00,2026-06-24,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-7145,10.20.249.56
TXN_0000280,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,166.82,USD,2026-06-25T11:00:00,2026-06-25,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-7650,10.20.214.223
TXN_0000281,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,158.38,USD,2026-06-26T11:00:00,2026-06-26,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-9381,10.20.138.174
TXN_0000282,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,134.52,USD,2026-06-27T11:00:00,2026-06-27,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-7385,10.20.9.162
TXN_0000283,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,191.66,USD,2026-06-28T11:00:00,2026-06-28,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-4961,10.20.239.135
TXN_0000284,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,173.68,USD,2026-06-29T11:00:00,2026-06-29,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-9305,10.20.58.50
TXN_0000285,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,130.67,USD,2026-06-30T11:00:00,2026-06-30,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-4910,10.20.47.245
TXN_0000286,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,203.10,USD,2026-07-01T11:00:00,2026-07-01,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-7156,10.20.112.93
TXN_0000287,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,164.84,USD,2026-07-02T11:00:00,2026-07-02,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-1101,10.20.203.251
TXN_0000288,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,197.82,USD,2026-07-03T11:00:00,2026-07-03,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-7060,10.20.140.80
TXN_0000289,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,205.23,USD,2026-07-04T11:00:00,2026-07-04,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-1302,10.20.254.167
TXN_0000290,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,150.04,USD,2026-07-05T11:00:00,2026-07-05,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-1373,10.20.159.85
TXN_0000291,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,129.47,USD,2026-07-06T11:00:00,2026-07-06,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-6759,10.20.40.49
TXN_0000292,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,163.91,USD,2026-07-07T11:00:00,2026-07-07,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-7820,10.20.145.101
TXN_0000293,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,187.92,USD,2026-07-08T11:00:00,2026-07-08,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-5474,10.20.129.130
TXN_0000294,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,201.05,USD,2026-07-09T11:00:00,2026-07-09,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-6756,10.20.83.152
TXN_0000295,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,147.30,USD,2026-07-10T11:00:00,2026-07-10,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-2660,10.20.16.35
TXN_0000296,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,160.68,USD,2026-07-11T11:00:00,2026-07-11,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-3115,10.20.166.107
TXN_0000297,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,199.92,USD,2026-07-12T11:00:00,2026-07-12,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-8694,10.20.91.90
TXN_0000298,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,135.15,USD,2026-07-13T11:00:00,2026-07-13,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-5508,10.20.108.129
TXN_0000299,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,150.92,USD,2026-07-14T11:00:00,2026-07-14,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-8116,10.20.0.146
TXN_0000300,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,185.38,USD,2026-07-15T11:00:00,2026-07-15,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-3938,10.20.139.86
TXN_0000301,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,196.87,USD,2026-07-16T11:00:00,2026-07-16,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-5867,10.20.108.8
TXN_0000302,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,174.83,USD,2026-07-17T11:00:00,2026-07-17,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-7596,10.20.146.233
TXN_0000303,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,128.77,USD,2026-07-18T11:00:00,2026-07-18,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-2729,10.20.8.113
TXN_0000304,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,204.93,USD,2026-07-19T11:00:00,2026-07-19,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-3900,10.20.100.169
TXN_0000305,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,132.44,USD,2026-07-20T11:00:00,2026-07-20,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-9657,10.20.76.147
TXN_0000307,ACC_20005,CUST_20005,CREDIT,TRANSFER_IN,INTERNET_BANKING,1450.00,USD,2026-07-21T08:00:00,2026-07-21,POSTED,Salary,,,,,,,IN,IN,N,,BR001,DEV-3718,10.20.196.224
TXN_0000001,ACC_100001,CUST_10001,CREDIT,TRANSFER_IN,INTERNET_BANKING,3250.00,USD,2026-07-21T09:00:00,2026-07-21,POSTED,Monthly salary,,Acme Systems Pvt Ltd,,,,,IN,IN,N,,BR001,DEV-5879,10.20.3.27
TXN_0000064,ACC_100002,CUST_10002,CREDIT,TRANSFER_IN,INTERNET_BANKING,3300.00,USD,2026-07-21T09:00:00,2026-07-21,POSTED,Monthly salary,,Acme Systems Pvt Ltd,,,,,IN,IN,N,,BR001,DEV-7612,10.20.22.142
TXN_0000127,ACC_100003,CUST_10003,CREDIT,TRANSFER_IN,INTERNET_BANKING,3350.00,USD,2026-07-21T09:00:00,2026-07-21,POSTED,Monthly salary,,Acme Systems Pvt Ltd,,,,,IN,IN,N,,BR001,DEV-2788,10.20.72.130
TXN_0000190,ACC_100004,CUST_10004,CREDIT,TRANSFER_IN,INTERNET_BANKING,3400.00,USD,2026-07-21T09:00:00,2026-07-21,POSTED,Monthly salary,,Acme Systems Pvt Ltd,,,,,IN,IN,N,,BR001,DEV-8202,10.20.64.128
TXN_0000306,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,200.92,USD,2026-07-21T11:00:00,2026-07-21,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-6049,10.20.248.219
TXN_0000002,ACC_100001,CUST_10001,DEBIT,CARD_PAYMENT,CARD_POS,213.92,USD,2026-07-21T13:20:00,2026-07-21,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-1821,10.20.196.184
TXN_0000065,ACC_100002,CUST_10002,DEBIT,CARD_PAYMENT,CARD_POS,56.88,USD,2026-07-21T13:20:00,2026-07-21,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-2643,10.20.252.199
TXN_0000128,ACC_100003,CUST_10003,DEBIT,CARD_PAYMENT,CARD_POS,222.01,USD,2026-07-21T13:20:00,2026-07-21,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-5405,10.20.49.84
TXN_0000191,ACC_100004,CUST_10004,DEBIT,CARD_PAYMENT,CARD_POS,215.64,USD,2026-07-21T13:20:00,2026-07-21,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-1322,10.20.97.212
TXN_0000308,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,207.84,USD,2026-07-22T11:00:00,2026-07-22,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-7893,10.20.128.63
TXN_0000003,ACC_100001,CUST_10001,DEBIT,CARD_PAYMENT,CARD_POS,216.64,USD,2026-07-22T13:20:00,2026-07-22,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-3909,10.20.62.10
TXN_0000066,ACC_100002,CUST_10002,DEBIT,CARD_PAYMENT,CARD_POS,220.85,USD,2026-07-22T13:20:00,2026-07-22,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-2871,10.20.135.227
TXN_0000129,ACC_100003,CUST_10003,DEBIT,CARD_PAYMENT,CARD_POS,163.21,USD,2026-07-22T13:20:00,2026-07-22,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-9739,10.20.3.106
TXN_0000192,ACC_100004,CUST_10004,DEBIT,CARD_PAYMENT,CARD_POS,92.53,USD,2026-07-22T13:20:00,2026-07-22,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-6756,10.20.113.204
TXN_0000309,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,139.63,USD,2026-07-23T11:00:00,2026-07-23,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-2127,10.20.111.99
TXN_0000004,ACC_100001,CUST_10001,DEBIT,CARD_PAYMENT,CARD_POS,76.76,USD,2026-07-23T13:20:00,2026-07-23,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-9420,10.20.70.209
TXN_0000067,ACC_100002,CUST_10002,DEBIT,CARD_PAYMENT,CARD_POS,64.72,USD,2026-07-23T13:20:00,2026-07-23,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-7605,10.20.30.81
TXN_0000130,ACC_100003,CUST_10003,DEBIT,CARD_PAYMENT,CARD_POS,42.47,USD,2026-07-23T13:20:00,2026-07-23,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-9721,10.20.67.179
TXN_0000193,ACC_100004,CUST_10004,DEBIT,CARD_PAYMENT,CARD_POS,194.41,USD,2026-07-23T13:20:00,2026-07-23,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-5747,10.20.248.191
TXN_0000310,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,152.22,USD,2026-07-24T11:00:00,2026-07-24,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-3427,10.20.106.244
TXN_0000005,ACC_100001,CUST_10001,DEBIT,CARD_PAYMENT,CARD_POS,76.78,USD,2026-07-24T13:20:00,2026-07-24,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-6486,10.20.113.69
TXN_0000068,ACC_100002,CUST_10002,DEBIT,CARD_PAYMENT,CARD_POS,219.14,USD,2026-07-24T13:20:00,2026-07-24,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-3872,10.20.36.24
TXN_0000131,ACC_100003,CUST_10003,DEBIT,CARD_PAYMENT,CARD_POS,144.21,USD,2026-07-24T13:20:00,2026-07-24,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-7953,10.20.13.28
TXN_0000194,ACC_100004,CUST_10004,DEBIT,CARD_PAYMENT,CARD_POS,121.93,USD,2026-07-24T13:20:00,2026-07-24,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-3394,10.20.4.60
TXN_0000311,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,133.02,USD,2026-07-25T11:00:00,2026-07-25,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-3519,10.20.219.144
TXN_0000006,ACC_100001,CUST_10001,DEBIT,CARD_PAYMENT,CARD_POS,96.48,USD,2026-07-25T13:20:00,2026-07-25,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-9830,10.20.169.191
TXN_0000069,ACC_100002,CUST_10002,DEBIT,CARD_PAYMENT,CARD_POS,163.73,USD,2026-07-25T13:20:00,2026-07-25,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-6287,10.20.170.237
TXN_0000132,ACC_100003,CUST_10003,DEBIT,CARD_PAYMENT,CARD_POS,232.48,USD,2026-07-25T13:20:00,2026-07-25,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-7331,10.20.60.170
TXN_0000195,ACC_100004,CUST_10004,DEBIT,CARD_PAYMENT,CARD_POS,166.11,USD,2026-07-25T13:20:00,2026-07-25,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-1281,10.20.122.123
TXN_0000312,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,137.34,USD,2026-07-26T11:00:00,2026-07-26,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-7838,10.20.104.46
TXN_0000007,ACC_100001,CUST_10001,DEBIT,CARD_PAYMENT,CARD_POS,21.28,USD,2026-07-26T13:20:00,2026-07-26,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-3538,10.20.31.50
TXN_0000070,ACC_100002,CUST_10002,DEBIT,CARD_PAYMENT,CARD_POS,171.74,USD,2026-07-26T13:20:00,2026-07-26,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-2978,10.20.146.247
TXN_0000133,ACC_100003,CUST_10003,DEBIT,CARD_PAYMENT,CARD_POS,179.17,USD,2026-07-26T13:20:00,2026-07-26,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-2742,10.20.20.10
TXN_0000196,ACC_100004,CUST_10004,DEBIT,CARD_PAYMENT,CARD_POS,99.59,USD,2026-07-26T13:20:00,2026-07-26,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-9121,10.20.115.85
TXN_0000313,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,199.05,USD,2026-07-27T11:00:00,2026-07-27,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-8164,10.20.75.157
TXN_0000008,ACC_100001,CUST_10001,DEBIT,CARD_PAYMENT,CARD_POS,171.99,USD,2026-07-27T13:20:00,2026-07-27,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-7123,10.20.166.221
TXN_0000071,ACC_100002,CUST_10002,DEBIT,CARD_PAYMENT,CARD_POS,174.78,USD,2026-07-27T13:20:00,2026-07-27,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-7218,10.20.255.115
TXN_0000134,ACC_100003,CUST_10003,DEBIT,CARD_PAYMENT,CARD_POS,147.88,USD,2026-07-27T13:20:00,2026-07-27,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-4168,10.20.135.252
TXN_0000197,ACC_100004,CUST_10004,DEBIT,CARD_PAYMENT,CARD_POS,152.64,USD,2026-07-27T13:20:00,2026-07-27,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-5763,10.20.217.168
TXN_0000314,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,142.46,USD,2026-07-28T11:00:00,2026-07-28,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-7551,10.20.209.233
TXN_0000009,ACC_100001,CUST_10001,DEBIT,CARD_PAYMENT,CARD_POS,139.41,USD,2026-07-28T13:20:00,2026-07-28,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-6442,10.20.222.239
TXN_0000072,ACC_100002,CUST_10002,DEBIT,CARD_PAYMENT,CARD_POS,27.89,USD,2026-07-28T13:20:00,2026-07-28,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-4022,10.20.82.184
TXN_0000135,ACC_100003,CUST_10003,DEBIT,CARD_PAYMENT,CARD_POS,61.28,USD,2026-07-28T13:20:00,2026-07-28,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-1617,10.20.194.8
TXN_0000198,ACC_100004,CUST_10004,DEBIT,CARD_PAYMENT,CARD_POS,59.04,USD,2026-07-28T13:20:00,2026-07-28,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-9611,10.20.163.99
TXN_0000315,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,140.71,USD,2026-07-29T11:00:00,2026-07-29,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-5149,10.20.7.1
TXN_0000010,ACC_100001,CUST_10001,DEBIT,CARD_PAYMENT,CARD_POS,146.20,USD,2026-07-29T13:20:00,2026-07-29,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-1906,10.20.233.195
TXN_0000073,ACC_100002,CUST_10002,DEBIT,CARD_PAYMENT,CARD_POS,156.00,USD,2026-07-29T13:20:00,2026-07-29,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-9534,10.20.226.9
TXN_0000136,ACC_100003,CUST_10003,DEBIT,CARD_PAYMENT,CARD_POS,35.65,USD,2026-07-29T13:20:00,2026-07-29,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-1709,10.20.7.31
TXN_0000199,ACC_100004,CUST_10004,DEBIT,CARD_PAYMENT,CARD_POS,173.67,USD,2026-07-29T13:20:00,2026-07-29,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-5590,10.20.42.3
TXN_0000316,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,127.90,USD,2026-07-30T11:00:00,2026-07-30,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-2291,10.20.172.218
TXN_0000011,ACC_100001,CUST_10001,DEBIT,CARD_PAYMENT,CARD_POS,30.23,USD,2026-07-30T13:20:00,2026-07-30,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-7494,10.20.220.5
TXN_0000074,ACC_100002,CUST_10002,DEBIT,CARD_PAYMENT,CARD_POS,143.06,USD,2026-07-30T13:20:00,2026-07-30,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-6967,10.20.166.228
TXN_0000137,ACC_100003,CUST_10003,DEBIT,CARD_PAYMENT,CARD_POS,140.62,USD,2026-07-30T13:20:00,2026-07-30,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-9714,10.20.131.159
TXN_0000200,ACC_100004,CUST_10004,DEBIT,CARD_PAYMENT,CARD_POS,207.97,USD,2026-07-30T13:20:00,2026-07-30,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-2087,10.20.65.54
TXN_0000317,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,193.49,USD,2026-07-31T11:00:00,2026-07-31,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-1644,10.20.214.111
TXN_0000012,ACC_100001,CUST_10001,DEBIT,CARD_PAYMENT,CARD_POS,200.65,USD,2026-07-31T13:20:00,2026-07-31,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-1096,10.20.209.186
TXN_0000075,ACC_100002,CUST_10002,DEBIT,CARD_PAYMENT,CARD_POS,137.56,USD,2026-07-31T13:20:00,2026-07-31,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-7724,10.20.243.63
TXN_0000138,ACC_100003,CUST_10003,DEBIT,CARD_PAYMENT,CARD_POS,180.40,USD,2026-07-31T13:20:00,2026-07-31,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-6741,10.20.45.63
TXN_0000201,ACC_100004,CUST_10004,DEBIT,CARD_PAYMENT,CARD_POS,52.43,USD,2026-07-31T13:20:00,2026-07-31,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-9494,10.20.199.240
TXN_0000318,ACC_20005,CUST_20005,DEBIT,CARD_PAYMENT,CARD_POS,161.20,USD,2026-08-01T11:00:00,2026-08-01,POSTED,Everyday spend,,,,,,,IN,IN,N,5812,BR001,DEV-7440,10.20.56.146
TXN_0000013,ACC_100001,CUST_10001,DEBIT,CARD_PAYMENT,CARD_POS,91.34,USD,2026-08-01T13:20:00,2026-08-01,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-3723,10.20.22.176
TXN_0000076,ACC_100002,CUST_10002,DEBIT,CARD_PAYMENT,CARD_POS,18.01,USD,2026-08-01T13:20:00,2026-08-01,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-2857,10.20.91.46
TXN_0000139,ACC_100003,CUST_10003,DEBIT,CARD_PAYMENT,CARD_POS,34.24,USD,2026-08-01T13:20:00,2026-08-01,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-8915,10.20.129.141
TXN_0000202,ACC_100004,CUST_10004,DEBIT,CARD_PAYMENT,CARD_POS,161.10,USD,2026-08-01T13:20:00,2026-08-01,POSTED,Retail purchase,,,,,,,IN,IN,N,5411,BR001,DEV-5046,10.20.173.159
